0_0,-1.306102,1.060434,0.010067,0.939566,-0.251627,-0.239213
0_1,-1.415059,1.058732,-0.028980,0.941268,-0.302854,-0.252001
0_2,-1.313465,1.075947,-0.030634,0.924053,-0.352274,-0.401649
0_3,-1.351485,1.128218,0.002785,0.871782,-0.306299,-0.432093
0_4,-1.399326,1.090675,-0.038688,0.909325,-0.278495,-0.401618
0_5,-1.327039,1.130704,-0.071608,0.869296,-0.319104,-0.415360
0_6,-1.622564,1.006089,-0.034500,0.993911,-0.261506,-0.315936
0_7,-1.665888,0.963741,-0.022894,1.036259,-0.266237,-0.258810
0_8,-1.322779,1.059770,-0.047352,0.940230,-0.232506,-0.278794
0_9,-1.297777,0.978261,0.018967,1.021739,-0.371398,-0.298985
0_10,-1.465009,1.080616,-0.026155,0.919384,-0.241912,-0.315002
0_11,-1.288360,1.089839,-0.077359,0.910161,-0.340289,-0.287601
0_12,-1.219700,1.124998,-0.012968,0.875002,-0.198182,-0.245591
0_13,-1.207492,1.101073,0.022711,0.898927,-0.210985,-0.248147
0_14,-1.186778,1.128757,0.012418,0.871243,-0.216072,-0.262757
0_15,-1.175619,1.149696,-0.021622,0.850304,-0.219138,-0.270832
0_16,-1.215438,1.076251,-0.014913,0.923749,-0.288278,-0.250837
0_17,-1.408047,1.091036,-0.027440,0.908964,-0.223330,-0.339170
0_18,-1.305855,1.038085,-0.017868,0.961915,-0.305868,-0.365662
0_19,-1.283444,1.161000,0.011186,0.839000,-0.203440,-0.324701
0_20,-1.035792,1.226330,0.012917,0.773670,-0.318564,-0.419063
0_21,-1.029439,1.356294,-0.033296,0.643706,-0.237867,-0.500124
0_22,-1.023142,1.277709,-0.033331,0.722291,-0.252623,-0.499725
0_23,-0.990424,1.257790,-0.004433,0.742210,-0.280696,-0.496502
0_24,-0.917921,1.164163,-0.007749,0.835837,-0.430244,-0.479383
1_0,-1.355918,0.995212,0.003765,1.004788,-0.300620,-0.255514
1_1,-1.419901,1.068054,-0.037551,0.931946,-0.329714,-0.314799
1_2,-1.363782,1.042557,-0.040379,0.957443,-0.375344,-0.408570
1_3,-1.429795,1.132138,-0.019672,0.867862,-0.308560,-0.427427
1_4,-1.499631,1.032082,-0.026044,0.967918,-0.305904,-0.382831
1_5,-1.450956,1.069158,-0.047494,0.930842,-0.351843,-0.380343
1_6,-1.547734,1.095529,-0.014247,0.904471,-0.317894,-0.403089
1_7,-1.499717,1.020829,-0.015664,0.979171,-0.372369,-0.391401
1_8,-1.565676,1.060530,-0.035483,0.939470,-0.261877,-0.331881
1_9,-1.469630,1.127338,-0.019677,0.872662,-0.363368,-0.375338
1_10,-1.573103,0.981215,-0.020195,1.018785,-0.351661,-0.310339
1_11,-1.525929,1.021861,-0.030761,0.978139,-0.382671,-0.287162
1_12,-1.363474,0.965265,-0.036193,1.034735,-0.451189,-0.262820
1_13,-1.537850,1.049173,0.008380,0.950827,-0.214388,-0.212874
1_14,-1.366176,0.980230,-0.000209,1.019770,-0.322044,-0.209386
1_15,-1.221977,1.145641,0.001288,0.854359,-0.196752,-0.250496
1_16,-1.239361,1.262146,-0.049073,0.737854,-0.293031,-0.449750
1_17,-1.485063,1.096891,-0.047465,0.903109,-0.232835,-0.400511
1_18,-1.445223,1.069615,-0.019153,0.930385,-0.319355,-0.366461
1_19,-1.444369,1.158120,0.014395,0.841880,-0.223406,-0.344859
1_20,-1.306070,0.971027,-0.031487,1.028973,-0.339100,-0.287708
1_21,-1.400423,1.000432,-0.026807,0.999568,-0.290729,-0.300367
1_22,-1.447767,0.980852,0.003948,1.019148,-0.245139,-0.298668
1_23,-1.292346,0.963215,0.001905,1.036785,-0.309384,-0.294847
1_24,-1.055721,0.823575,0.002021,1.176425,-0.459595,-0.253327
2_0,-1.406536,1.001618,-0.014664,0.998382,-0.282870,-0.253858
2_1,-1.436047,1.039199,-0.023314,0.960801,-0.338675,-0.294517
2_2,-1.426161,0.954937,-0.057400,1.045063,-0.366682,-0.357003
2_3,-1.501841,1.129886,-0.032865,0.870114,-0.281947,-0.405634
2_4,-1.526292,1.024949,-0.031002,0.975051,-0.313558,-0.392758
2_5,-1.435522,1.110272,-0.059220,0.889728,-0.349247,-0.424907
2_6,-1.430985,1.089033,0.025193,0.910967,-0.370732,-0.444777
2_7,-1.405290,1.078877,0.035426,0.921123,-0.394092,-0.437936
2_8,-1.677746,0.976794,-0.016130,1.023206,-0.287858,-0.271121
2_9,-1.517635,1.080064,-0.025877,0.919936,-0.371620,-0.349652
2_10,-1.503417,0.976211,-0.020579,1.023789,-0.413102,-0.337851
2_11,-1.604568,1.071766,-0.046439,0.928234,-0.353422,-0.313050
2_12,-1.324515,1.141569,-0.088982,0.858431,-0.434603,-0.433573
2_13,-1.477044,1.181678,-0.059403,0.818322,-0.218000,-0.445302
2_14,-1.402228,1.023127,-0.082438,0.976873,-0.347475,-0.327139
2_15,-1.276197,1.134838,0.009239,0.865162,-0.179289,-0.234548
2_16,-1.431820,1.060766,-0.051621,0.939234,-0.321479,-0.313184
2_17,-1.537962,1.042714,-0.033631,0.957286,-0.248221,-0.367996
2_18,-1.465897,1.146753,-0.010138,0.853247,-0.275461,-0.397987
2_19,-1.481108,1.145152,-0.018376,0.854848,-0.229277,-0.329554
2_20,-1.365578,1.241649,-0.039183,0.758351,-0.190073,-0.439231
2_21,-1.348669,1.127370,-0.016959,0.872630,-0.282097,-0.421822
2_22,-1.490247,1.017789,0.015903,0.982211,-0.221075,-0.339214
2_23,-1.320793,1.016702,0.022824,0.983298,-0.290225,-0.324481
2_24,-1.115268,0.819215,0.024867,1.180785,-0.456715,-0.225992
3_0,-1.357944,1.063352,-0.040800,0.936648,-0.303571,-0.303934
3_1,-1.370156,1.101210,-0.023034,0.898790,-0.356006,-0.349323
3_2,-1.434139,0.931655,-0.062210,1.068345,-0.382436,-0.334481
3_3,-1.543210,0.992287,-0.034864,1.007713,-0.302470,-0.352526
3_4,-1.590918,0.947267,-0.023719,1.052733,-0.298442,-0.360139
3_5,-1.517356,0.995161,-0.034031,1.004839,-0.341082,-0.357994
3_6,-1.469265,0.985814,0.010372,1.014186,-0.347786,-0.400920
3_7,-1.375432,1.205232,0.032288,0.794768,-0.372826,-0.446924
3_8,-1.657959,1.103866,0.018172,0.896134,-0.262344,-0.313301
3_9,-1.443233,1.122709,-0.006703,0.877291,-0.398604,-0.369591
3_10,-1.474601,0.905621,-0.029160,1.094379,-0.416432,-0.326437
3_11,-1.489069,1.015885,-0.057901,0.984115,-0.379683,-0.338444
3_12,-1.449646,0.937498,-0.100718,1.062502,-0.419381,-0.316007
3_13,-1.557797,1.011652,-0.096139,0.988348,-0.249867,-0.355141
3_14,-1.360882,1.062522,-0.095809,0.937478,-0.336168,-0.386174
3_15,-1.310465,1.084443,-0.001158,0.915557,-0.188124,-0.216390
